,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
2305,ELEC,Galleria North,13741 Noel Road,,Dallas,TX,75240,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.9357398,-96.8191899,2022-10-30,221954,2022-10-30 00:34:18 UTC,,,,2022-06-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.00-$5.00/Hr Variable Parking Fee,,,,,,,,,,
2392,ELEC,Doverhouse,9343 Garland Road,"The stations are located inside the parking garage, it's underground of building 2. ",Dallas,TX,75218,,800-663-5633,E,,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,,,,,4.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8322222,-96.7049162,2022-10-30,224579,2022-10-30 00:34:18 UTC,,,,2022-07-29,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
2402,ELEC,Motor Court,301 S Harwood St.,,Dallas,TX,75201,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.779853,-96.794503,2022-10-05,224840,2022-10-05 22:58:03 UTC,,,,2022-08-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2427,ELEC,Parc at White Rock Garage,7545 E. Northwest Highway,The stations are located in the garage.,Dallas,TX,75238,,800-663-5633,E,,Public,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,,,,,,3.0,,,SemaCharge Network,https://semaconnect.com/,GPS,32.8642076,-96.7038743,2022-10-30,225328,2022-10-30 00:34:18 UTC,,,,2022-08-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,
2472,ELEC,Fuel City Convenience Store - Tesla Supercharger,801 S Riverfront Blvd,,Dallas,TX,75207,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,32.767263,-96.807846,2022-10-11,227379,2022-10-11 18:56:12 UTC,P,,,2022-09-02,,,,,TESLA,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,,,,,,,,,,,,,,,,,False
2489,ELEC,"Holiday Inn Express & Suites Dallas Northeast - Arboretum, an IHG Hotel",11331 W Kingsley Rd,,Dallas,TX,75238,,866-350-2739,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,,,,2.0,,,UNIVERSAL,https://universalevcharging.com/,GPS,32.8788782,-96.6853215,2022-10-11,227755,2022-10-11 18:56:12 UTC,P,,,2022-08-26,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,HOTEL,,,,,,,$0.30 per kWh,,,,,,,,,,False
2508,ELEC,Victron at Shell,102 S Belt Line Rd,,Dallas,TX,75253,,877-455-3833,E,,Public,24 hours daily,,,,,,1.0,1.0,,eVgo Network,https://www.evgo.com/,GPS,32.702628,-96.585952,2022-10-29,228181,2022-10-29 22:55:53 UTC,,,,2018-03-07,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2519,ELEC,Walgreens,9937 Garland Rd,,Dallas,TX,75218,,877-455-3833,E,,Public,24 hours daily,,,,,,1.0,1.0,,eVgo Network,https://www.evgo.com/,GPS,32.838897,-96.697156,2022-10-29,228195,2022-10-29 22:55:54 UTC,,,,2018-03-07,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2527,ELEC,Walgreens,5742 E Mockingbird Ln,,Dallas,TX,75206,,877-455-3833,E,,Public,24 hours daily,,,,,,,1.0,,eVgo Network,https://www.evgo.com/,GPS,32.836017,-96.76808,2022-10-29,228207,2022-10-29 22:55:55 UTC,,,,2018-03-07,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2528,ELEC,Walgreens,3802 Cedar Springs Rd,,Dallas,TX,75219,,877-455-3833,E,,Public,24 hours daily,,,,,,1.0,1.0,,eVgo Network,https://www.evgo.com/,GPS,32.809635,-96.808726,2022-10-29,228209,2022-10-29 22:55:56 UTC,,,,2018-03-07,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2532,ELEC,Walgreens,5201 Belt Line Rd,,Dallas,TX,75254,,877-455-3833,E,,Public,24 hours daily,,,,,,,1.0,,eVgo Network,https://www.evgo.com/,GPS,32.954462,-96.819108,2022-10-29,228213,2022-10-29 22:55:56 UTC,,,,2018-03-07,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2542,ELEC,YMCA - Town North #75,4332 Northhaven Rd,,Dallas,TX,75229,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.901518,-96.834891,2022-10-05,228904,2022-10-05 22:57:31 UTC,,,,2022-09-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
2547,ELEC,Tom Thumb,10455 N Central Expy,,Dallas,TX,75231,,888-264-2208,E,,Public,6am-12am daily,,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,32.88879846016888,-96.77142571610575,2022-10-11,229343,2022-10-11 18:56:12 UTC,P,,,2022-06-27,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,False
2557,ELEC,Park Fast,1821 N Pearl St,,Dallas,TX,75201,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,,,,6.0,,,AMPUP,https://ampup.io/,200-8,32.789085,-96.799272,2022-10-11,230191,2022-10-11 18:56:12 UTC,P,,,2022-09-15,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_GARAGE,,,,,,,,,,,,,,,,,False
2562,ELEC,The Shelton,5909 Luther Ln,,Dallas,TX,75225,,833-692-6787,E,,Private,Contact station for hours of availability.,,,,,,2.0,,,AMPUP,https://ampup.io/,200-9,32.863923,-96.810844,2022-10-11,230679,2022-10-11 18:56:12 UTC,P,,,2022-09-15,,,,,J1772,US,,,,Privé,,private,,,MULTI_UNIT_DWELLING,,,,,,,,,,,,,,,,,
2565,ELEC,SKY VIEW CFC-1,N 24th Ave,,Dallas,TX,75261,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.916031,-97.034359,2022-10-30,230746,2022-10-30 01:21:01 UTC,,,,2022-09-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2566,ELEC,SKY VIEW CFC-2,N 24th Ave,,Dallas,TX,75261,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.915586,-97.034357,2022-10-30,230747,2022-10-30 01:21:01 UTC,,,,2022-09-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2572,ELEC,Highland Springs Inc.,8000 Frankford Road,,Dallas,TX,75252,,866-816-7584,E,,Public,,,,,,,1.0,,,EV Connect,http://evconnect.com/,GPS,32.995123,-96.763033,2022-10-30,230974,2022-10-30 02:14:12 UTC,,,,2022-09-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2581,ELEC,AMERICANAIRLINE CFC-3,N 24th Ave,,Dallas,TX,75261,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.915914,-97.034369,2022-10-30,231755,2022-10-30 01:21:31 UTC,,,,2022-10-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2582,ELEC,AMERICANAIRLINE CFC-4,N 24th Ave,,Dallas,TX,75261,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.915878,-97.034359,2022-10-30,231756,2022-10-30 01:21:31 UTC,,,,2022-10-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2585,ELEC,BOAP EV BOAP - 1,800 Main St,,Dallas,TX,75202,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.779136,-96.804631,2022-10-30,233131,2022-10-30 01:20:19 UTC,,,,2022-10-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2586,ELEC,BOAP EV BOAP - 2,800 Main St,,Dallas,TX,75202,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.779163,-96.80445,2022-10-30,233132,2022-10-30 01:20:19 UTC,,,,2022-10-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
2600,ELEC,La Quinta Inn & Suites by Wyndham Dallas - Richardson,13175 N Central Expy,,Dallas,TX,75243,,866-350-2738,E,,Public - Credit card at all times,24 hours daily,A CREDIT D M V,,,,,2.0,,,UNIVERSAL,https://universalevcharging.com/,GPS,32.9280789,-96.7634954,,234590,2022-10-18 19:15:23 UTC,P,,,2022-09-28,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,HOTEL,,,,,,,$0.30 per kWh,,,,,,,,,,False
2601,ELEC,SHSDALLAS1 SHSDALLAS1,18180 Highland Spgs,,Dallas,TX,75252,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.998436,-96.761871,2022-10-30,235008,2022-10-30 01:22:00 UTC,,,,2022-10-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
